date_generated,id,icpsr,bioname,congress,chamber,cqlabel,state,state_abbrev,district_code,party_code,party_noun,dim1,dim2,geo_mean_probability,number_of_errors,number_of_votes,log_likelihood
2017-02-06 00:45:04,MS11341110,41110,"LEE, Mike",113,Senate,(UT),Utah,UT,0,200,,0.921,-0.389,0.8751293397994734,26,533,-71.09345167628562
2017-02-06 00:45:04,MS11341304,41304,"CRUZ, Rafael Edward (Ted)",113,Senate,(TX),Texas,TX,0,200,,0.888,-0.419,0.8744503656253962,26,510,-68.42146921897105
2017-02-06 00:45:04,MS11340305,40305,"CORNYN, John",113,Senate,(TX),Texas,TX,0,200,,0.498,-0.018,0.8163757292761715,57,534,-108.33822835800369
2017-02-06 00:45:04,MS11340304,40304,"ALEXANDER, Lamar",113,Senate,(TN),Tennessee,TN,0,200,,0.323,-0.186,0.7654178415911956,65,514,-137.4093656000752
2017-02-06 00:45:04,MS11340705,40705,"CORKER, Robert (Bob)",113,Senate,(TN),Tennessee,TN,0,200,,0.391,-0.32,0.7577210922865292,63,540,-149.81755311684867
2017-02-06 00:45:04,MS11315425,15425,"JOHNSON, Timothy Peter (Tim)",113,Senate,(SD),South Dakota,SD,0,100,,-0.25,0.143,0.945,10,548,-30.95638
2017-02-06 00:45:04,MS11329754,29754,"THUNE, John",113,Senate,(SD),South Dakota,SD,0,200,,0.409,0.125,0.8555650158465229,33,549,-85.6402618890665
2017-02-06 00:45:04,MS11329566,29566,"GRAHAM, Lindsey O.",113,Senate,(SC),South Carolina,SC,0,200,,0.409,-0.174,0.7761271931678304,66,513,-130.01413698014474
2017-02-06 00:45:04,MS11321173,21173,"SCOTT, Tim",113,Senate,(SC),South Carolina,SC,0,200,,0.669,-0.013,0.8593660061434758,33,538,-81.53947570313093
2017-02-06 00:45:04,MS11329142,29142,"REED, John F. (Jack)",113,Senate,(RI),Rhode Island,RI,0,100,,-0.391,-0.245,0.9561791551634996,10,552,-24.73511044456658
2017-02-06 00:45:04,MS11340704,40704,"WHITEHOUSE, Sheldon",113,Senate,(RI),Rhode Island,RI,0,100,,-0.431,-0.217,0.953287224273785,9,546,-26.120111009214572
2017-02-06 00:45:04,MS11329935,29935,"TOOMEY, Patrick Joseph",113,Senate,(PA),Pennsylvania,PA,0,200,,0.629,-0.292,0.7890872571964351,56,534,-126.49305070870979
2017-02-06 00:45:04,MS11340703,40703,"CASEY, Robert (Bob), Jr.",113,Senate,(PA),Pennsylvania,PA,0,100,,-0.297,0.23,0.9378962827163975,15,537,-34.43024307207863
2017-02-06 00:45:04,MS11314871,14871,"WYDEN, Ronald Lee",113,Senate,(OR),Oregon,OR,0,100,,-0.313,-0.406,0.9267675281271024,19,552,-41.98099301943778
2017-02-06 00:45:04,MS11340908,40908,"MERKLEY, Jeff",113,Senate,(OR),Oregon,OR,0,100,,-0.434,-0.754,0.9348705480375569,16,544,-36.63688255304274
2017-02-06 00:45:04,MS11329555,29555,"COBURN, Thomas Allen",113,Senate,(OK),Oklahoma,OK,0,200,,0.782,0.055,0.801,45,442,-98.18576
2017-02-06 00:45:04,MS11315424,15424,"INHOFE, James Mountain",113,Senate,(OK),Oklahoma,OK,0,200,,0.551,0.037,0.8368331732976476,36,485,-86.39331355633385
2017-02-06 00:45:04,MS11329386,29386,"PORTMAN, Robert Jones (Rob)",113,Senate,(OH),Ohio,OH,0,200,,0.376,-0.258,0.7747753787685607,58,537,-137.0328013858506
2017-02-06 00:45:04,MS11329389,29389,"BROWN, Sherrod",113,Senate,(OH),Ohio,OH,0,100,,-0.442,-0.146,0.9562431214436766,12,543,-24.29549631092633
2017-02-06 00:45:04,MS11341107,41107,"HOEVEN, John",113,Senate,(ND),North Dakota,ND,0,200,,0.337,0.336,0.8365061555702404,34,550,-98.18676992365201
2017-02-06 00:45:04,MS11341303,41303,"HEITKAMP, Mary Kathryn (Heidi)",113,Senate,(ND),North Dakota,ND,0,100,,-0.139,0.415,0.9006682327921288,15,541,-56.598505861615266
2017-02-06 00:45:04,MS11340907,40907,"HAGAN, Kay",113,Senate,(NC),North Carolina,NC,0,100,,-0.202,0.281,0.905,18,538,-53.76165
2017-02-06 00:45:04,MS11329548,29548,"BURR, Richard M.",113,Senate,(NC),North Carolina,NC,0,200,,0.454,-0.06,0.8127338750402032,46,537,-111.3477877171473
2017-02-06 00:45:04,MS11314858,14858,"SCHUMER, Charles Ellis (Chuck)",113,Senate,(NY),New York,NY,0,100,,-0.349,-0.402,0.9696863696702495,3,551,-16.96120709223471
2017-02-06 00:45:04,MS11320735,20735,"GILLIBRAND, Kirsten",113,Senate,(NY),New York,NY,0,100,,-0.309,0.02,0.9398121085734293,14,546,-33.89311827392814
2017-02-06 00:45:04,MS11329924,29924,"UDALL, Thomas (Tom)",113,Senate,(NM),New Mexico,NM,0,100,,-0.459,0.188,0.9618526066286927,11,550,-21.39173058980293
2017-02-06 00:45:04,MS11320930,20930,"HEINRICH, Martin",113,Senate,(NM),New Mexico,NM,0,100,,-0.279,-0.044,0.9359984583049206,14,550,-36.377797288815984
2017-02-06 00:45:04,MS11341308,41308,"BOOKER, Cory Anthony",113,Senate,(NJ),New Jersey,NJ,0,100,,-0.522,-0.473,0.9781693876950204,4,351,-7.747421488163125
2017-02-06 00:45:04,MS11341307,41307,"CHIESA, Jeffrey Scott",113,Senate,(NJ),New Jersey,NJ,0,200,,0.218,0.384,0.761,10,56,-15.28456
2017-02-06 00:45:04,MS11314914,14914,"LAUTENBERG, Frank Raleigh",113,Senate,(NJ),New Jersey,NJ,0,100,,-0.382,-0.579,0.989,0,31,-0.35377
2017-02-06 00:45:04,MS11329373,29373,"MENENDEZ, Robert",113,Senate,(NJ),New Jersey,NJ,0,100,,-0.361,-0.115,0.9688312093961781,9,545,-17.257355661786292
2017-02-06 00:45:04,MS11340906,40906,"SHAHEEN, Jeanne",113,Senate,(NH),New Hampshire,NH,0,100,,-0.277,-0.348,0.9294426176604631,20,547,-40.0241039714558
2017-02-06 00:45:04,MS11341106,41106,"AYOTTE, Kelly",113,Senate,(NH),New Hampshire,NH,0,200,,0.351,-0.612,0.789,56,544,-128.71369
2017-02-06 00:45:04,MS11315054,15054,"REID, Harry",113,Senate,(NV),Nevada,NV,0,100,,-0.276,0.258,0.837,31,545,-96.68299
2017-02-06 00:45:04,MS11320730,20730,"HELLER, Dean",113,Senate,(NV),Nevada,NV,0,200,,0.461,-0.459,0.690077392121417,88,541,-200.68477512549993
2017-02-06 00:45:04,MS11341302,41302,"FISCHER, Debra (Deb)",113,Senate,(NE),Nebraska,NE,0,200,,0.471,0.314,0.8602464650172963,30,552,-83.09606164702168
2017-02-06 00:45:04,MS11340905,40905,"JOHANNS, Mike",113,Senate,(NE),Nebraska,NE,0,200,,0.391,0.293,0.83,38,520,-96.6795
2017-02-06 00:45:04,MS11340702,40702,"TESTER, Jon",113,Senate,(MT),Montana,MT,0,100,,-0.216,0.18,0.8466677326812004,29,546,-90.8800339171305
2017-02-06 00:45:04,MS11341309,41309,"WALSH, John E.",113,Senate,(MT),Montana,MT,0,100,,-0.255,0.462,0.922,8,273,-22.15141
2017-02-06 00:45:04,MS11314203,14203,"BAUCUS, Max Sieben",113,Senate,(MT),Montana,MT,0,100,,-0.212,0.017,0.804,26,276,-60.13694
2017-02-06 00:45:04,MS11329735,29735,"BLUNT, Roy",113,Senate,(MO),Missouri,MO,0,200,,0.431,0.288,0.809220903813528,53,521,-110.28702083357653
2017-02-06 00:45:04,MS11340701,40701,"McCASKILL, Claire",113,Senate,(MO),Missouri,MO,0,100,,-0.143,-0.01,0.8959519489178625,25,521,-57.241486356162305
2017-02-06 00:45:04,MS11329534,29534,"WICKER, Roger F.",113,Senate,(MS),Mississippi,MS,0,200,,0.376,0.366,0.8318064980384521,47,544,-100.18055918786732
2017-02-06 00:45:04,MS11314009,14009,"COCHRAN, William Thad",113,Senate,(MS),Mississippi,MS,0,200,,0.286,0.05,0.7909329556918503,46,458,-107.4202697682463
2017-02-06 00:45:04,MS11340904,40904,"FRANKEN, Al",113,Senate,(MN),Minnesota,MN,0,100,,-0.434,-0.117,0.9662114548682331,6,549,-18.870541668422202
2017-02-06 00:45:04,MS11340700,40700,"KLOBUCHAR, Amy",113,Senate,(MN),Minnesota,MN,0,100,,-0.237,-0.168,0.9557135681008926,5,547,-24.77747310247489
2017-02-06 00:45:04,MS11314709,14709,"LEVIN, Carl",113,Senate,(MI),Michigan,MI,0,100,,-0.395,-0.116,0.934,12,540,-36.77581
2017-02-06 00:45:04,MS11329732,29732,"STABENOW, Deborah Ann",113,Senate,(MI),Michigan,MI,0,100,,-0.326,0.016,0.9708620623267163,6,542,-16.0274159399233
2017-02-06 00:45:04,MS11341306,41306,"COWAN, William (Mo)",113,Senate,(MA),Massachusetts,MA,0,100,,-0.462,0.348,0.936,4,134,-8.89963
2017-02-06 00:45:04,MS11341301,41301,"WARREN, Elizabeth",113,Senate,(MA),Massachusetts,MA,0,100,,-0.72,-0.348,0.9486245175910454,17,546,-28.79725200704705
2017-02-06 00:45:04,MS11315408,15408,"CARDIN, Benjamin Louis",113,Senate,(MD),Maryland,MD,0,100,,-0.329,-0.258,0.9658695213503035,5,550,-19.09958872716146
2017-02-06 00:45:04,MS11314440,14440,"MIKULSKI, Barbara Ann",113,Senate,(MD),Maryland,MD,0,100,,-0.37,-0.128,0.97,5,527,-16.25351
2017-02-06 00:45:04,MS11341300,41300,"KING, Angus Stanley, Jr.",113,Senate,(ME),Maine,ME,0,328,,-0.159,-0.323,0.8961015069923878,28,549,-60.226169270087546
2017-02-06 00:45:04,MS11349703,49703,"COLLINS, Susan Margaret",113,Senate,(ME),Maine,ME,0,200,,0.106,-0.576,0.8321240615177261,39,552,-101.44310275553232
2017-02-06 00:45:04,MS11349702,49702,"LANDRIEU, Mary L.",113,Senate,(LA),Louisiana,LA,0,100,,-0.203,0.444,0.893,22,492,-55.47109
2017-02-06 00:45:04,MS11329918,29918,"VITTER, David",113,Senate,(LA),Louisiana,LA,0,200,,0.495,0.323,0.803,58,506,-110.77719
2017-02-06 00:45:04,MS11314921,14921,"McCONNELL, Addison Mitchell (Mitch)",113,Senate,(KY),Kentucky,KY,0,200,,0.404,0.005,0.8090520337622884,52,550,-116.54062495547754
2017-02-06 00:45:04,MS11341104,41104,"PAUL, Rand",113,Senate,(KY),Kentucky,KY,0,200,,0.882,-0.472,0.8124324771292922,42,537,-111.54696816387347
2017-02-06 00:45:04,MS11314852,14852,"ROBERTS, Charles Patrick (Pat)",113,Senate,(KS),Kansas,KS,0,200,,0.415,-0.096,0.7364044936834859,69,515,-157.57749961617498
2017-02-06 00:45:04,MS11329722,29722,"MORAN, Jerry",113,Senate,(KS),Kansas,KS,0,200,,0.412,0.268,0.8064072567475291,47,497,-106.93769223303934
2017-02-06 00:45:04,MS11314230,14230,"HARKIN, Thomas Richard (Tom)",113,Senate,(IA),Iowa,IA,0,100,,-0.351,-0.546,0.944,12,528,-30.33406
2017-02-06 00:45:04,MS11314226,14226,"GRASSLEY, Charles Ernest",113,Senate,(IA),Iowa,IA,0,200,,0.341,-0.07,0.7820529104252477,72,552,-135.6997499451102
2017-02-06 00:45:04,MS11320717,20717,"DONNELLY, Joe",113,Senate,(IN),Indiana,IN,0,100,,-0.119,0.426,0.8932441077204263,16,549,-61.97956282453127
2017-02-06 00:45:04,MS11314806,14806,"COATS, Daniel Ray",113,Senate,(IN),Indiana,IN,0,200,,0.375,-0.227,0.795,55,539,-123.88821
2017-02-06 00:45:04,MS11320115,20115,"KIRK, Mark Steven",113,Senate,(IL),Illinois,IL,0,200,,0.274,-0.647,0.705,92,506,-176.7963
2017-02-06 00:45:04,MS11315021,15021,"DURBIN, Richard Joseph",113,Senate,(IL),Illinois,IL,0,100,,-0.366,-0.358,0.9657695479222496,7,550,-19.156520051810485
2017-02-06 00:45:04,MS11329345,29345,"CRAPO, Michael Dean",113,Senate,(ID),Idaho,ID,0,200,,0.507,0.274,0.8257609205147232,45,547,-104.72314443911006
2017-02-06 00:45:04,MS11340902,40902,"RISCH, James",113,Senate,(ID),Idaho,ID,0,200,,0.631,0.577,0.8875470003226646,25,540,-64.41865249936644
2017-02-06 00:45:04,MS11341112,41112,"SCHATZ, Brian Emanuel",113,Senate,(HI),Hawaii,HI,0,100,,-0.422,-0.088,0.9809138204790807,2,509,-9.80877200772277
2017-02-06 00:45:04,MS11320713,20713,"HIRONO, Mazie",113,Senate,(HI),Hawaii,HI,0,100,,-0.504,-0.069,0.9714500431710202,8,551,-15.959954053135426
2017-02-06 00:45:04,MS11329909,29909,"ISAKSON, Johnny",113,Senate,(GA),Georgia,GA,0,200,,0.404,-0.017,0.7844062364562229,61,528,-128.2133075965814
2017-02-06 00:45:04,MS11329512,29512,"CHAMBLISS, Saxby",113,Senate,(GA),Georgia,GA,0,200,,0.423,0.205,0.753,64,478,-135.34325
2017-02-06 00:45:04,MS11314651,14651,"NELSON, Clarence William (Bill)",113,Senate,(FL),Florida,FL,0,100,,-0.193,0.347,0.9132213314730516,20,536,-48.65647498112874
2017-02-06 00:45:04,MS11341102,41102,"RUBIO, Marco",113,Senate,(FL),Florida,FL,0,200,,0.589,-0.329,0.7658131842048569,65,524,-139.8121204902465
2017-02-06 00:45:04,MS11315015,15015,"CARPER, Thomas Richard",113,Senate,(DE),Delaware,DE,0,100,,-0.174,-0.214,0.9047778466004996,12,551,-55.13627717072431
2017-02-06 00:45:04,MS11340916,40916,"COONS, Christopher A.",113,Senate,(DE),Delaware,DE,0,100,,-0.301,-0.256,0.9548110633251555,12,541,-25.01681246065244
2017-02-06 00:45:04,MS11320707,20707,"MURPHY, Christopher",113,Senate,(CT),Connecticut,CT,0,100,,-0.311,-0.199,0.95053857486482,12,548,-27.798140695657256
2017-02-06 00:45:04,MS11341101,41101,"BLUMENTHAL, Richard",113,Senate,(CT),Connecticut,CT,0,100,,-0.383,-0.194,0.9663587736338758,7,551,-18.85528195702814
2017-02-06 00:45:04,MS11340910,40910,"BENNET, Michael F.",113,Senate,(CO),Colorado,CO,0,100,,-0.211,-0.114,0.9489443600787609,9,548,-28.71800145546586
2017-02-06 00:45:04,MS11329906,29906,"UDALL, Mark",113,Senate,(CO),Colorado,CO,0,100,,-0.353,0.049,0.933,11,519,-35.83642
2017-02-06 00:45:04,MS11349300,49300,"FEINSTEIN, Dianne",113,Senate,(CA),California,CA,0,100,,-0.262,-0.17,0.9558751429826009,10,523,-23.601932512205902
2017-02-06 00:45:04,MS11315011,15011,"BOXER, Barbara",113,Senate,(CA),California,CA,0,100,,-0.45,-0.423,0.963,8,512,-19.24984
2017-02-06 00:45:04,MS11320101,20101,"BOOZMAN, John",113,Senate,(AR),Arkansas,AR,0,200,,0.402,0.246,0.8424136524358309,30,501,-85.91353996092641
2017-02-06 00:45:04,MS11340301,40301,"PRYOR, Mark",113,Senate,(AR),Arkansas,AR,0,100,,-0.199,0.463,0.885,26,528,-64.2729
2017-02-06 00:45:04,MS11315039,15039,"McCAIN, John Sidney, III",113,Senate,(AZ),Arizona,AZ,0,200,,0.381,-0.622,0.7767833395528176,67,525,-132.6117501306103
2017-02-06 00:45:04,MS11320100,20100,"FLAKE, Jeff",113,Senate,(AZ),Arizona,AZ,0,200,,0.855,-0.518,0.6152244089868366,131,535,-259.88597901310976
2017-02-06 00:45:04,MS11340900,40900,"BEGICH, Mark",113,Senate,(AK),Alaska,AK,0,100,,-0.235,0.15,0.91,21,512,-48.13809
2017-02-06 00:45:04,MS11340300,40300,"MURKOWSKI, Lisa",113,Senate,(AK),Alaska,AK,0,200,,0.208,-0.29,0.7396463270358095,80,516,-155.61690203054061
2017-02-06 00:45:04,MS11394659,94659,"SHELBY, Richard C.",113,Senate,(AL),Alabama,AL,0,200,,0.433,0.543,0.8175615139273631,55,545,-109.77887729276136
2017-02-06 00:45:04,MS11349700,49700,"SESSIONS, Jefferson Beauregard III (Jeff)",113,Senate,(AL),Alabama,AL,0,200,,0.549,0.13,0.8278956545249356,45,539,-101.79993481376792
